Seq,PSRJ,RAh,RAm,RAs,e_RAs,DE-,DEd,DEm,DEs,e_DEs,F0,e_F0,F1,e_F1,F2,e_F2,RMS,RMS_P0,ntoa,chi2r,l_chi2r,dof,dt,flags
1,J0034-0721,00,34,08.91,5,-,07,21,56,2,1.0605000639,1,-0.448,8,,,2908.3,3.1,62,6.9,,57,2.1,
2,J0134-2937,01,34,18.692,1,-,29,37,17.08,2,7.30131498121,1,-4.178,1,,,114.3,0.8,57,1.0,,52,1.7,
3,J0151-0635,01,51,22.74,1,-,06,35,03.9,3,0.68275004308,1,-0.2067,8,,,615.0,0.4,39,1.5,,34,2.1,
4,J0152-1637,01,52,10.852,6,-,16,37,53.9,1,1.200851165189,7,-1.873,2,,,259.6,0.3,39,1.0,,34,1.4,
5,J0206-4028,02,06,01.293,5,-,40,28,03.62,7,1.585913888562,9,-3.0095,7,,,208.5,0.3,26,1.4,,21,1.8,
6,J0255-5304,02,55,56.2925,9,-,53,04,21.275,9,2.233596324088,1,-0.1561,1,,,77.1,0.2,99,2.8,,94,2.2,
7,J0401-7608,04,01,51.75,3,-,76,08,13.0,1,1.83400703758,3,-5.188,5,,,811.8,1.5,36,1.6,,35,1.6,
8,J0418-4154,04,18,03.787,8,-,41,54,14.53,8,1.32079645096,3,-2.293,3,,,350.9,0.5,19,0.7,,14,1.6,
9,J0450-1248,04,50,08.77,2,-,12,48,07.0,5,2.2830308884,1,-0.54,1,-0.00090,5,1763.3,4.0,16,1.6,,15,1.7,
10,J0452-1759,04,52,34.115,1,-,17,59,23.30,4,1.821681556540,2,-19.0946,3,,,185.5,0.3,75,2.9,,70,2.2,
11,J0525+1115,05,25,56.500,3,+,11,15,19.1,2,2.82137066778,1,-0.585,2,,,230.4,0.6,24,0.8,,19,1.7,
12,J0533+0402,05,33,25.83,2,+,04,01,59.6,8,1.03840239455,4,-0.171,5,,,1107.0,1.1,15,0.9,,14,1.5,
13,J0536-7543,05,36,30.82,1,-,75,43,54.8,1,0.802660896055,5,-0.3722,8,,,279.8,0.2,49,1.6,,44,2.2,
14,J0601-0527,06,01,58.973,2,-,05,27,51.02,6,2.525443244407,6,-8.3064,9,,,273.7,0.7,75,0.8,,70,2.2,
15,J0627+0706,06,27,44.181,4,+,07,06,32.8,2,2.10134832230,3,-131.618,3,,,283.4,0.6,36,1.6,,35,1.7,
16,J0630-2834,06,30,49.371,8,-,28,34,42.2,2,0.80358373464,2,-4.635,1,-0.50,1,591.8,0.5,37,3.2,,31,2.2,
17,J0646+0905,06,46,30.96,5,+,09,05,50,2,1.1063007233,1,-0.915,9,,,1669.3,1.8,43,2.7,,38,1.7,
18,J0659+1414,06,59,48.196,3,+,14,14,19.4,3,2.59788422918,2,-370.7985,8,,,818.8,2.1,141,2.1,,136,3.0,
19,J0729-1836,07,29,32.290,4,-,18,36,42.21,7,1.96011842692,1,-72.8593,7,,,1060.9,2.1,160,13.5,,155,2.9,
20,J0738-4042,07,38,32.262,2,-,40,42,39.42,2,2.66723044134,1,-9.7822,4,-4.05,7,153.1,0.4,185,50,>,179,2.5,
21,J0742-2822,07,42,49.073,5,-,28,22,43.51,7,5.99612785971,9,-603.377,8,-22.4,5,560.1,3.4,121,50,>,114,2.4,
22,J0758-1528,07,58,29.055,5,-,15,28,08.46,6,1.46570344504,1,-3.481,1,,,293.1,0.4,63,0.9,,58,1.9,
23,J0809-4753,08,09,43.835,6,-,47,53,54.70,6,1.82747830437,1,-10.274,1,,,329.1,0.6,41,1.0,,36,1.8,
24,J0820-1350,08,20,26.402,3,-,13,50,56.40,8,0.807668884075,2,-1.3731,4,,,181.0,0.1,29,1.8,,24,2.4,
25,J0820-4114,08,20,15.45,2,-,41,14,35.3,3,1.83336353469,6,-0.075,5,,,1153.2,2.1,36,1.2,,31,1.9,
26,J0837-4135,08,37,21.1943,6,-,41,35,14.563,6,1.330449942221,2,-6.26345,6,0.031,9,68.6,0.1,94,7.8,,88,2.4,
27,J0840-5332,08,40,33.75,2,-,53,32,35.92,9,1.38770592258,2,-3.149,2,,,590.6,0.8,40,1.0,,35,1.9,
28,J0842-4851,08,42,05.33,3,-,48,51,21.1,2,1.55191490019,2,-23.029,3,,,525.2,0.8,13,1.5,,8,1.9,
29,J0846-3533,08,46,06.040,8,-,35,33,41.2,1,0.895978340344,8,-1.288,1,,,587.6,0.5,35,1.6,,30,1.9,
30,J0855-3331,08,55,38.40,2,-,33,31,39.0,2,0.78892977830,1,-3.936,2,,,402.2,0.3,23,0.7,,18,2.0,
31,J0907-5157,09,07,15.911,4,-,51,57,59.21,3,3.94387510244,2,-28.556,1,,,321.2,1.3,56,1.6,,51,2.0,
32,J0908-4913,09,08,35.429,4,-,49,13,05.06,4,9.3660112270,1,-1324.723,4,17.8,6,510.6,4.8,121,50,>,115,2.3,
33,J0922+0638,09,22,14.16,1,+,06,38,28.8,3,2.32217901670,4,-73.937,4,-3.3,3,346.6,0.8,41,3.5,,35,1.9,
34,J0924-5814,09,24,30.83,3,-,58,14,05.1,3,1.35225504153,4,-9.002,3,,,1378.4,1.9,27,1.0,,22,2.0,
35,J0934-5249,09,34,28.21,5,-,52,49,27.4,2,0.69214827100,3,-2.231,3,,,1246.4,0.9,23,2.1,,18,1.7,
36,J0942-5657,09,42,54.424,9,-,56,57,43.21,6,1.23737204382,2,-60.639,2,,,227.4,0.3,21,0.7,,16,1.5,
37,J0944-1354,09,44,28.97,1,-,13,54,41.9,2,1.75357327378,3,-0.139,4,,,121.8,0.2,23,1.0,,18,1.8,
38,J0953+0755,09,53,09.297,2,+,07,55,36.4,1,3.951547889072,3,-3.5872,2,,,45.4,0.2,25,7.7,,20,2.1,
39,J0955-5304,09,55,29.474,7,-,53,04,16.57,6,1.159928626936,7,-4.7433,7,,,283.4,0.3,29,1.1,,24,1.7,
40,J1001-5507,10,01,37.88,5,-,55,07,08.6,4,0.69607303565,2,-25.031,2,,,4563.0,3.2,77,50,>,72,2.4,
41,J1003-4747,10,03,21.528,7,-,47,47,01.2,1,3.25654170023,3,-21.966,2,,,145.6,0.5,11,0.8,,6,2.0,
42,J1012-5857,10,12,48.48,2,-,58,57,48.7,1,1.21962189421,2,-26.469,2,,,727.9,0.9,57,1.0,,52,2.3,
43,J1013-5934,10,13,31.835,8,-,59,34,26.63,5,2.25784124142,1,-2.838,1,,,346.0,0.8,39,0.8,,34,1.9,
44,J1017-5621,10,17,12.831,3,-,56,21,30.52,3,1.986244776367,7,-12.387,1,,,145.5,0.3,28,0.6,,23,1.6,
45,J1034-3224,10,34,19.49,2,-,32,24,27.2,3,0.86911889403,3,-0.181,3,,,590.5,0.5,10,0.2,,5,1.7,
46,J1042-5521,10,42,00.49,3,-,55,21,06.2,4,0.85406779038,2,-4.901,2,,,640.5,0.5,22,0.7,,17,1.9,
47,J1046-5813,10,46,18.81,2,-,58,13,52.0,1,2.70688676029,8,-8.401,6,,,252.5,0.7,21,0.8,,16,1.6,
48,J1048-5832,10,48,13.05,2,-,58,32,06.2,1,8.0824184675,2,-6279.20,2,147.0,10,1403.9,11.3,141,50,>,134,2.3,
49,J1056-6258,10,56,25.584,3,-,62,58,47.69,2,2.36714106186,1,-20.0460,3,0.88,5,265.1,0.6,127,3.6,,121,2.5,
50,J1057-5226,10,57,59.045,2,-,52,26,56.33,2,5.07318862008,2,-150.272,1,-0.70,1,223.1,1.1,92,7.6,,86,2.4,
51,J1059-5742,10,59,00.87,2,-,57,42,14.5,1,0.84387999092,2,-3.062,3,,,792.6,0.7,27,1.6,,22,1.5,
52,J1105-6107,11,05,26.14,1,-,61,07,48.94,7,15.8222513304,2,-3966.60,2,,,369.5,5.8,47,9.0,,42,1.6,
53,J1110-5637,11,10,00.40,1,-,56,37,32.6,1,1.79129810270,2,-6.604,3,,,407.3,0.7,32,1.2,,27,1.5,
54,J1116-4122,11,16,43.083,9,-,41,22,44.8,2,1.06026074420,2,-8.952,1,,,256.7,0.3,19,1.1,,14,1.9,
55,J1121-5444,11,21,19.09,1,-,54,44,05.1,1,1.86641502544,3,-9.698,3,-4.7,2,278.1,0.5,34,1.4,,28,1.8,
56,J1136+1551,11,36,03.072,7,+,15,51,15.5,2,0.841809871747,4,-2.6442,2,,,234.9,0.2,25,6.4,,20,3.0,
57,J1136-5525,11,36,02.16,2,-,55,25,06.9,2,2.74188009974,6,-61.847,3,-4.5,4,861.8,2.4,54,9.8,,48,2.4,
58,J1146-6030,11,46,07.722,6,-,60,30,59.49,6,3.65798554138,1,-23.925,1,,,271.2,1.0,40,1.0,,35,1.9,
59,J1157-6224,11,57,15.207,5,-,62,24,50.93,5,2.49671858339,2,-24.5156,7,-1.0,1,261.6,0.7,50,1.2,,44,2.1,
60,J1202-5820,12,02,28.325,5,-,58,20,33.64,5,2.20846545759,2,-10.3898,6,-1.09,9,235.5,0.5,45,1.0,,39,2.3,
61,J1210-5559,12,10,05.9861,9,-,55,59,03.87,1,3.574391887153,2,-9.2671,2,,,39.7,0.1,30,0.5,,25,2.1,
62,J1224-6407,12,24,22.274,1,-,64,07,53.834,9,4.619346760844,3,-105.6997,3,,,99.0,0.5,124,1.9,,119,2.1,
63,J1239-6832,12,39,58.8,1,-,68,32,30.0,5,0.76809485744,5,-7.018,7,,,1039.2,0.8,15,1.2,,10,1.4,
64,J1243-6423,12,43,17.101,1,-,64,23,23.73,1,2.574101117947,2,-29.7838,2,,,163.3,0.4,193,50,>,188,2.4,
65,J1253-5820,12,53,28.413,3,-,58,20,40.59,4,3.91392670018,3,-32.257,2,,,176.8,0.7,33,0.6,,28,1.6,
66,J1305-6455,13,05,23.39,2,-,64,55,28.3,2,1.74931666089,4,-12.368,1,-1.0,3,721.0,1.3,51,3.3,,45,2.4,
67,J1306-6617,13,06,38.14,3,-,66,17,22.1,3,2.1140406548,1,-26.74,1,,,1340.6,2.8,22,1.3,,17,1.5,
68,J1312-5402,13,12,04.71,6,-,54,02,42.6,6,1.37333511666,7,-0.27,1,,,1638.3,2.2,17,1.0,,12,1.6,
69,J1312-5516,13,12,53.52,2,-,55,16,48.0,2,1.17751983176,3,-7.910,3,,,832.2,1.0,39,0.9,,34,1.5,
70,J1319-6056,13,19,20.24,1,-,60,56,46.7,1,3.51675963951,4,-18.895,4,,,400.2,1.4,25,1.3,,20,1.7,
71,J1320-5359,13,20,53.921,3,-,53,59,05.00,4,3.57477758544,1,-118.152,1,,,296.4,1.1,75,0.8,,70,1.9,
72,J1326-5859,13,26,58.217,5,-,58,59,29.29,5,2.09207816446,2,-14.1887,8,1.4,1,328.8,0.7,61,2.1,,55,2.1,
73,J1326-6408,13,26,32.44,1,-,64,08,43.8,1,1.26155286489,1,-4.921,2,,,396.5,0.5,25,1.5,,20,1.4,
74,J1326-6700,13,26,02.73,2,-,67,00,49.2,2,1.84156961608,6,-18.063,4,-4.2,6,1105.9,2.0,47,2.7,,41,2.0,
75,J1327-6222,13,27,17.176,9,-,62,22,45.46,6,1.88704458069,3,-66.917,1,9.2,2,602.4,1.1,99,25.8,,93,2.1,
76,J1327-6301,13,27,07.46,1,-,63,01,15.45,8,5.08957797555,6,-39.618,6,,,369.9,1.9,24,1.1,,19,1.6,
77,J1328-4357,13,28,06.41,1,-,43,57,44.6,2,1.87722052787,3,-10.760,3,,,440.1,0.8,50,1.8,,45,1.7,
78,J1355-5153,13,55,58.685,7,-,51,53,54.0,1,1.55206115643,1,-6.774,1,,,206.1,0.3,28,0.9,,23,1.7,
79,J1359-6038,13,59,58.248,1,-,60,38,07.55,1,7.84261649184,2,-389.3542,7,1.6,2,114.3,0.9,114,6.8,,108,2.1,
80,J1401-6357,14,01,52.59,1,-,63,57,45.4,1,1.18651362796,2,-23.769,1,-2.4,2,709.0,0.8,59,15.5,,53,2.0,
81,J1420-5416,14,20,29.09,3,-,54,16,22.5,5,1.06863614348,3,-0.265,3,,,666.6,0.7,17,0.7,,12,1.7,
82,J1428-5530,14,28,26.246,9,-,55,30,50.1,1,1.75348642693,3,-6.417,2,,,649.0,1.1,44,4.1,,39,1.9,
83,J1430-6623,14,30,40.735,2,-,66,23,05.55,1,1.273166302706,1,-4.50222,8,,,87.1,0.1,69,2.1,,64,2.2,
84,J1435-5954,14,35,00.21,5,-,59,54,48.8,4,2.11418109792,8,-6.911,6,,,1394.8,2.9,21,1.5,,16,1.9,
85,J1440-6344,14,40,31.26,2,-,63,44,48.4,2,2.17577321653,3,-5.306,2,,,388.2,0.8,12,0.7,,7,1.7,
86,J1452-6036,14,52,51.86,5,-,60,36,32,1,6.4519415820,6,-60.40,7,,,275.6,1.8,17,0.4,,12,1.9,
87,J1453-6413,14,53,32.6546,6,-,64,13,16.047,5,5.571424351992,5,-85.1832,2,0.22,3,52.4,0.3,117,4.6,,111,2.2,
88,J1456-6843,14,55,59.923,3,-,68,43,39.50,2,3.796840090121,6,-1.4264,3,,,106.2,0.4,58,5.8,,53,2.6,
89,J1507-4352,15,07,34.156,3,-,43,52,03.8,1,3.48725495695,3,-19.252,3,,,121.0,0.4,14,0.8,,9,1.5,
90,J1507-6640,15,07,48.632,5,-,66,40,57.80,3,2.81170331278,1,-9.108,1,,,103.8,0.3,18,0.5,,13,1.5,
91,J1512-5759,15,12,43.027,7,-,58,00,00.2,1,7.7700147940,2,-413.544,5,-12,2,437.1,3.4,72,1.0,,66,1.7,
92,J1522-5829,15,22,42.26,1,-,58,29,03.1,1,2.52937565292,2,-13.149,2,,,654.6,1.7,33,1.2,,28,1.8,
93,J1527-3931,15,27,58.78,1,-,39,31,36.6,8,0.41363243245,2,-3.265,2,,,707.4,0.3,15,0.5,,10,1.6,
94,J1527-5552,15,27,40.75,1,-,55,52,08.3,3,0.95354468208,2,-10.250,2,,,559.8,0.5,21,1.6,,16,1.7,
95,J1534-5334,15,34,08.278,6,-,53,34,19.66,8,0.730523027416,3,-0.7625,2,,,383.3,0.3,48,1.5,,43,2.1,
96,J1539-5626,15,39,14.109,8,-,56,26,26.3,1,4.10852985575,4,-81.898,4,,,522.9,2.1,64,1.1,,59,1.8,
97,J1544-5308,15,44,59.838,2,-,53,08,46.93,4,5.60055059845,1,-1.8901,8,,,151.7,0.8,44,1.1,,39,2.1,
